geography_code,variable,value
E12000001,lq_rent_to_median_earnings,0.21911944557684468
E06000005,lq_rent_to_median_earnings,0.22034425549564496
E06000001,lq_rent_to_median_earnings,0.2006823198876179
E06000002,lq_rent_to_median_earnings,0.23817381738173818
E06000003,lq_rent_to_median_earnings,0.241093714545042
E06000004,lq_rent_to_median_earnings,0.2209347996857816
E06000047,lq_rent_to_median_earnings,0.2018601798855274
E06000057,lq_rent_to_median_earnings,0.20462451401677922
E11000007,lq_rent_to_median_earnings,0.2396085552865214
E08000037,lq_rent_to_median_earnings,0.2273186502323702
E08000021,lq_rent_to_median_earnings,0.29574132492113564
E08000022,lq_rent_to_median_earnings,0.22482014388489208
E08000023,lq_rent_to_median_earnings,0.21348201727948563
E08000024,lq_rent_to_median_earnings,0.25748048568950566
E12000002,lq_rent_to_median_earnings,0.2601585728444004
E06000008,lq_rent_to_median_earnings,0.2416237113402062
E06000009,lq_rent_to_median_earnings,0.3068237604320079
E06000006,lq_rent_to_median_earnings,0.24394001643385374
E06000007,lq_rent_to_median_earnings,0.26809026482655723
E06000049,lq_rent_to_median_earnings,0.2695028858685533
E06000050,lq_rent_to_median_earnings,0.2823116340861644
E10000006,lq_rent_to_median_earnings,0.21985538401407076
E07000026,lq_rent_to_median_earnings,0.1971243042671614
E07000027,lq_rent_to_median_earnings,0.2161842344802476
E07000028,lq_rent_to_median_earnings,0.2305596311045902
E07000029,lq_rent_to_median_earnings,0.20175915850562207
E07000030,lq_rent_to_median_earnings,0.25752773375594296
E07000031,lq_rent_to_median_earnings,0.3148297400765666
E11000001,lq_rent_to_median_earnings,0.2833629016361128
E08000001,lq_rent_to_median_earnings,0.26493742430359307
E08000002,lq_rent_to_median_earnings,0.2607000362713094
E08000003,lq_rent_to_median_earnings,0.413459538173497
E08000004,lq_rent_to_median_earnings,0.26483050847457623
E08000005,lq_rent_to_median_earnings,0.25142917637095064
E08000006,lq_rent_to_median_earnings,0.3242814483016051
E08000007,lq_rent_to_median_earnings,0.31136363636363634
E08000008,lq_rent_to_median_earnings,0.2939071764465344
E08000009,lq_rent_to_median_earnings,0.33521673132062746
E08000010,lq_rent_to_median_earnings,0.2340468093618724
E10000017,lq_rent_to_median_earnings,0.25389823553549445
E07000117,lq_rent_to_median_earnings,0.22893772893772893
E07000118,lq_rent_to_median_earnings,0.23885350318471338
E07000119,lq_rent_to_median_earnings,0.2618050266565118
E07000120,lq_rent_to_median_earnings,0.210939051022434
E07000121,lq_rent_to_median_earnings,0.2891692954784437
E07000122,lq_rent_to_median_earnings,0.2421376481312671
E07000123,lq_rent_to_median_earnings,0.2835110002268088
E07000124,lq_rent_to_median_earnings,0.25590917550716547
E07000125,lq_rent_to_median_earnings,0.24028077753779697
E07000126,lq_rent_to_median_earnings,0.2786377708978328
E07000127,lq_rent_to_median_earnings,0.2535641547861507
E07000128,lq_rent_to_median_earnings,0.28687669518047154
E11000002,lq_rent_to_median_earnings,0.2441883180308654
E08000011,lq_rent_to_median_earnings,0.23926439437704605
E08000012,lq_rent_to_median_earnings,0.2576560659599529
E08000013,lq_rent_to_median_earnings,0.2167366307720387
E08000014,lq_rent_to_median_earnings,0.28425655976676384
E08000015,lq_rent_to_median_earnings,0.23706896551724138
E12000003,lq_rent_to_median_earnings,0.250300360432519
E06000011,lq_rent_to_median_earnings,0.22163120567375888
E06000010,lq_rent_to_median_earnings,0.22771110158594085
E06000012,lq_rent_to_median_earnings,0.21361883499086665
E06000013,lq_rent_to_median_earnings,0.23197890212932215
E06000014,lq_rent_to_median_earnings,0.361243072050673
E10000023,lq_rent_to_median_earnings,0.2778339058395636
E07000163,lq_rent_to_median_earnings,0.29205607476635514
E07000164,lq_rent_to_median_earnings,0.26595744680851063
E07000165,lq_rent_to_median_earnings,0.32379798732761833
E07000166,lq_rent_to_median_earnings,0.25635767022149303
E07000167,lq_rent_to_median_earnings,0.32613851992409865
E07000168,lq_rent_to_median_earnings,0.27554048325561675
E07000169,lq_rent_to_median_earnings,0.2565777197238291
E11000003,lq_rent_to_median_earnings,0.2481072232453448
E08000016,lq_rent_to_median_earnings,0.21529888551165147
E08000017,lq_rent_to_median_earnings,0.24028733306353703
E08000018,lq_rent_to_median_earnings,0.2362452750944981
E08000019,lq_rent_to_median_earnings,0.28703515545620806
E11000006,lq_rent_to_median_earnings,0.260261748958953
E08000032,lq_rent_to_median_earnings,0.24900398406374502
E08000033,lq_rent_to_median_earnings,0.2401901294498382
E08000034,lq_rent_to_median_earnings,0.22882181110029212
E08000035,lq_rent_to_median_earnings,0.32379798732761833
E08000036,lq_rent_to_median_earnings,0.2761413843888071
